iter	RMSE
0	104615634.3
1	102014243.5
2	99765844.37
3	97623100.1
4	95961279.17
5	94409397.72
6	92901414.8
7	91553214.46
8	90347583.15
9	89348313.06
10	88352415.16
11	87436731.92
12	86909061.68
13	86004460.61
14	85562958.3
15	85154317.48
16	83553573.33
17	82179746.06
18	81719466.53
19	80451914.75
20	79407272.66
21	78689192.11
22	77658055.15
23	77365134.13
24	76545421.76
25	75973774.08
26	75690338.69
27	74861220
28	74072422.37
29	73536810.53
30	72796967.47
31	72129150.75
32	71772616.41
33	71201633.42
34	70803870.12
35	70651661.57
36	70519056.57
37	69855206.36
38	69391054.07
39	68979526.35
40	68493012
41	67987954.87
42	67967082.27
43	67710488.89
44	67480379.35
45	67072635.33
46	66728412.7
47	66354405.43
48	66084421.34
49	66026930.6
50	65864423.83
51	65684481.17
52	65475120.59
53	65272377.83
54	64902445.69
55	64563359.6
56	64035878.06
57	63539861.26
58	63373076.22
59	63119071.75
60	63032463.25
61	62999952.11
62	62532229.92
63	62077426.52
64	61654949.69
65	61470308.93
66	61419694.91
67	60884622.84
68	60859379.05
69	60442185.3
70	60155855.06
71	60090950.23
72	60089079.7
73	59991194.58
74	59961598.46
75	59700917.33
76	59298279.48
77	58999267.88
78	58640240.83
79	58289158.22
80	58124526.1
81	57923022.37
82	57564853.43
83	57446652.62
84	57405731.61
85	57381439.01
86	57180884.82
87	56869042.95
88	56867669.68
89	56566203.36
90	56267351.33
91	56255967.56
92	56064669.36
93	55784335.62
94	55482597.37
95	55479664.78
96	55234851.6
97	54992227.52
98	54952151.56
99	54911901.07
100	54643160.7
101	54252984.78
102	54037616.16
103	54033806.23
104	54005749.46
105	53965545.47
106	53760273.45
107	53562928.32
108	53542440.37
109	53521622.89
110	53382348.13
111	53240989.06
112	53196895.92
113	53192902.09
114	53059981.15
115	53052759.1
116	53017669.06
117	52840134.02
118	52737317.5
119	52594560.77
120	52544510.54
121	52394038.42
122	52223849.67
123	52068872.21
124	51894661.91
125	51890635.89
126	51877716.58
127	51873831.25
128	51713896.41
129	51492303.97
130	51457996.7
131	51315260.31
132	51156008.02
133	51146900.1
134	51111561.66
135	50982366.51
136	50924142.4
137	50837433.78
138	50679906.31
139	50650745.88
140	50650040.36
141	50495175.49
142	50335812.76
143	50186472.12
144	50079015.2
145	50054744.97
146	49919852.81
147	49793347.02
148	49674635.99
149	49563176.82
150	49449354.85
151	49351890.84
152	49332079.13
153	49168042.78
154	49162665.32
155	49141991.4
156	49065420.94
157	49023720.86
158	48762729.11
159	48656752.72
160	48585200.62
161	48475317.8
162	48398485.72
163	48340338.57
164	48334124.64
165	48183845.77
166	48122369.83
167	48036162.48
168	48016981.9
169	47941461.69
170	47878823.69
171	47585534.46
172	47525818.18
173	47462303.13
174	47400671.25
175	47338255.47
176	47322746.69
177	47283878.21
178	47247131.13
179	47212371.27
180	47123648.01
181	47092251.51
182	46940509.09
183	46896134.09
184	46863441.89
185	46832481.79
186	46745200.69
187	46688307.16
188	46665134.27
189	46628591.43
190	46599409.82
191	46564521.67
192	46552128.41
193	46458133.69
194	46333600.4
195	46310684.8
196	46304680.8
197	46284477.43
198	46261017.44
199	46240569.32
200	46189358.2
201	46151617.03
202	46002810.49
203	45992960.35
204	45954294.75
205	45937290.12
206	45838617.69
207	45808846.17
208	45780854.25
209	45741979.98
210	45736761.47
211	45715472.75
212	45689485.36
213	45670793.37
214	45667490.72
215	45651590.06
216	45627014.02
217	45600051.69
218	45547264.53
219	45503560.01
220	45500328.31
221	45427856.92
222	45422070.11
223	45384283.25
224	45362073.88
225	45360015.86
226	45319966.72
227	45282541.83
228	45244860.32
229	45243090.94
230	45204166.3
231	45179263.28
232	45162154.2
233	45136386.14
234	45102741.68
235	45101278.98
236	45073087.28
237	45071837.21
238	45068745.77
239	45053020.06
240	45045119.39
241	44904889.21
242	44875192.76
243	44842237.57
244	44818119.96
245	44805164.77
246	44790122.93
247	44577316.88
248	44545880.13
249	44430088.89
250	44389437.24
251	44376147.89
252	44372934.23
253	44341099.69
254	44322089.99
255	44290267.52
256	44275316.48
257	44244833.81
258	44238325.61
259	44210845.53
260	44029228.35
261	43997240.86
262	43991550.78
263	43968202.47
264	43804371.92
265	43657177.47
266	43656762.39
267	43643689.68
268	43617575.21
269	43538346.38
270	43493461.57
271	43486037.93
272	43475707.37
273	43427864.13
274	43418771.38
275	43376491.26
276	43368141.19
277	43342109.37
278	43331483.05
279	43325244.83
280	43286407.67
281	43257396.5
282	43239560.88
283	43215358.39
284	43155925.9
285	43135357.7
286	43098913.6
287	43082683.67
288	43074729.34
289	43043343.37
290	43035910.83
291	43027003.97
292	43004149.51
293	42978373.35
294	42970496.01
295	42935901.17
296	42919124.49
297	42841748.43
298	42834977.41
299	42820411.12
