iter	Passed	Remaining
0	76	22963
1	93	13914
2	106	10586
3	118	8768
4	130	7720
5	144	7086
6	154	6464
7	164	6002
8	173	5602
9	182	5280
10	190	5006
11	200	4823
12	210	4650
13	220	4514
14	229	4360
15	237	4216
16	248	4138
17	258	4049
18	268	3972
19	277	3881
20	285	3796
21	298	3766
22	307	3704
23	316	3641
24	325	3585
25	333	3513
26	340	3445
27	349	3393
28	358	3351
29	370	3330
30	377	3279
31	386	3236
32	399	3229
33	406	3179
34	416	3152
35	428	3140
36	437	3111
37	446	3078
38	457	3061
39	466	3034
40	474	2994
41	485	2979
42	495	2962
43	504	2936
44	514	2915
45	523	2888
46	529	2849
47	536	2814
48	545	2796
49	557	2786
50	565	2758
51	573	2732
52	583	2720
53	594	2707
54	602	2682
55	607	2648
56	617	2631
57	626	2615
58	636	2598
59	648	2593
60	655	2566
61	663	2546
62	673	2532
63	682	2514
64	690	2497
65	701	2486
66	711	2472
67	719	2453
68	726	2432
69	737	2423
70	743	2398
71	750	2377
72	759	2362
73	767	2344
74	775	2325
75	780	2301
76	791	2291
77	801	2280
78	810	2267
79	817	2247
80	829	2242
81	835	2220
82	841	2200
83	849	2185
84	856	2165
85	865	2152
86	872	2135
87	879	2118
88	888	2106
89	898	2096
90	905	2078
91	914	2067
92	921	2051
93	929	2036
94	938	2025
95	949	2017
96	955	1999
97	962	1983
98	970	1969
99	978	1956
100	985	1941
101	992	1926
102	1003	1918
103	1012	1907
104	1021	1897
105	1028	1882
106	1035	1867
107	1044	1857
108	1053	1846
109	1066	1841
110	1076	1833
111	1083	1819
112	1094	1812
113	1104	1801
114	1110	1787
115	1117	1773
116	1124	1759
117	1135	1750
118	1143	1738
119	1150	1725
120	1160	1717
121	1168	1704
122	1174	1690
123	1182	1678
124	1189	1665
125	1196	1652
126	1204	1640
127	1213	1630
128	1221	1619
129	1230	1608
130	1239	1598
131	1246	1586
132	1253	1573
133	1260	1561
134	1268	1550
135	1279	1542
136	1287	1531
137	1295	1521
138	1302	1508
139	1311	1498
140	1320	1489
141	1327	1476
142	1333	1464
143	1341	1453
144	1348	1441
145	1356	1431
146	1363	1419
147	1370	1407
148	1377	1395
149	1383	1383
150	1389	1370
151	1395	1358
152	1403	1348
153	1410	1337
154	1421	1329
155	1430	1320
156	1439	1311
157	1448	1301
158	1457	1292
159	1465	1282
160	1472	1271
161	1480	1261
162	1488	1251
163	1496	1241
164	1504	1230
165	1511	1220
166	1519	1209
167	1526	1199
168	1533	1188
169	1540	1177
170	1547	1167
171	1556	1158
172	1563	1147
173	1570	1137
174	1578	1127
175	1584	1116
176	1590	1105
177	1597	1095
178	1604	1084
179	1610	1073
180	1617	1063
181	1626	1054
182	1633	1044
183	1641	1034
184	1648	1024
185	1655	1014
186	1662	1004
187	1669	994
188	1678	985
189	1685	976
190	1692	965
191	1699	955
192	1709	947
193	1719	939
194	1729	931
195	1740	923
196	1749	914
197	1758	905
198	1766	896
199	1773	886
200	1784	879
201	1791	869
202	1798	859
203	1809	851
204	1816	841
205	1826	833
206	1834	824
207	1841	814
208	1849	805
209	1855	795
210	1861	785
211	1868	775
212	1875	766
213	1882	756
214	1889	747
215	1897	738
216	1904	728
217	1914	720
218	1920	710
219	1927	700
220	1933	691
221	1941	682
222	1951	673
223	1958	664
224	1965	655
225	1972	645
226	1979	636
227	1986	627
228	1994	618
229	2001	609
230	2008	599
231	2016	590
232	2023	581
233	2032	573
234	2039	564
235	2046	554
236	2054	546
237	2061	536
238	2070	528
239	2077	519
240	2083	510
241	2090	500
242	2096	491
243	2103	482
244	2109	473
245	2120	465
246	2128	456
247	2134	447
248	2145	439
249	2150	430
250	2162	422
251	2173	413
252	2181	405
253	2197	397
254	2204	389
255	2212	380
256	2221	371
257	2227	362
258	2239	354
259	2246	345
260	2252	336
261	2260	327
262	2267	318
263	2277	310
264	2282	301
265	2289	292
266	2295	283
267	2302	274
268	2308	266
269	2314	257
270	2320	248
271	2326	239
272	2332	230
273	2338	221
274	2344	213
275	2351	204
276	2357	195
277	2363	187
278	2371	178
279	2377	169
280	2383	161
281	2390	152
282	2396	143
283	2403	135
284	2410	126
285	2416	118
286	2423	109
287	2429	101
288	2435	92
289	2442	84
290	2448	75
291	2457	67
292	2465	58
293	2473	50
294	2480	42
295	2487	33
296	2493	25
297	2501	16
298	2509	8
299	2516	0
