NUMERO_POLICE,DATE_EFFET_DT,DATE_EXPIRATION_DT,ANNEE,TYPE,WILAYA_CODE,WILAYA,COMMUNE_CODE,COMMUNE,CAPITAL_ASSURE,PRIME_NETTE,ZONE_RPA,ZONE_SCORE,PML_RATE,PML_EXPOSE
16330013230012,2023-01-03,2024-01-02,2023,Installation Industrielle,9,BLIDA,111,BIRTOUTA,1000000.0,2500.0,Zone III,4.0,0.3,300000.0
34303003230006,2023-01-04,2024-01-03,2023,Installation Industrielle,34,B.B ARRERIDJ,368,BORDJ BOU ARRERIDJ,1000000.0,2500.0,Zone IIa,2.0,0.12,120000.0
19306003230396,2023-05-10,2024-05-09,2023,Installation Industrielle,19,SETIF,1158,EL EULMA,60000000.0,25800.0,Zone IIa,2.0,0.12,7200000.0
23304003230170,2023-12-04,2024-12-03,2023,Installation Industrielle,23,ANNABA,155,AIN BERDA,50000000.0,-21500.0,Zone IIa,2.0,0.12,6000000.0
23304003230170,2023-12-04,2024-12-03,2023,Installation Industrielle,23,ANNABA,155,AIN BERDA,50000000.0,21500.0,Zone IIa,2.0,0.12,6000000.0
06309003230005,2023-01-12,2024-01-11,2023,Installation Industrielle,6,BEJAIA,297,TAZMALT,2000000.0,2500.0,Zone IIa,2.0,0.12,240000.0
42303003230012,2023-01-22,2024-01-21,2023,Installation Industrielle,42,TIPAZA,1394,BOU ISMAIL,6000000.0,3000.0,Zone III,4.0,0.3,1800000.0
15309003240008,2024-01-01,2024-12-31,2024,Installation Industrielle,15,TIZI OUZOU,1498,TIGZIRT,44000000.0,18920.0,Zone IIa,2.0,0.12,5280000.0
16340003230331,2023-10-09,2024-10-08,2023,Installation Industrielle,35,BOUMERDES,459,KHEMIS EL KHECHNA,11000000.0,5170.0,Zone IIb,3.0,0.2,2200000.0
34303003240001,2024-01-03,2025-01-02,2024,Installation Industrielle,34,B.B ARRERIDJ,368,BORDJ BOU ARRERIDJ,1000000.0,2500.0,Zone IIa,2.0,0.12,120000.0
09306003230275,2023-09-11,2024-09-10,2023,Installation Industrielle,9,BLIDA,362,SOUMAA BLIDA,1000000.0,2500.0,Zone III,4.0,0.3,300000.0
06309003230136,2023-12-14,2024-12-13,2023,Installation Industrielle,6,BEJAIA,297,TAZMALT,4000000.0,2500.0,Zone IIa,2.0,0.12,480000.0
31310003230388,2023-10-03,2024-10-02,2023,Installation Industrielle,31,ORAN,1011,ES SENIA,1000000.0,2500.0,Zone IIa,2.0,0.12,120000.0
19306003230679,2023-07-31,2024-07-30,2023,Installation Industrielle,19,SETIF,1158,EL EULMA,34000000.0,14620.0,Zone IIa,2.0,0.12,4080000.0
16245003230034,2023-05-03,2024-02-29,2023,Installation Industrielle,16,ALGER,99,ALGER,8389997969.33,0.0,Zone III,4.0,0.3,2516999390.799
16331023230175,2023-09-25,2024-09-24,2023,Installation Industrielle,16,ALGER,108,BENI MESSOUS,6840000.0,3420.0,Zone III,4.0,0.3,2052000.0
43301023230043,2023-07-04,2024-07-03,2023,Installation Industrielle,43,MILA,894,TADJENANET,2200000.0,2500.0,Zone IIa,2.0,0.12,264000.0
35302003230011,2023-03-01,2024-02-29,2023,Installation Industrielle,35,BOUMERDES,469,TAOURGA,1000000.0,2500.0,Zone IIb,3.0,0.2,200000.0
34303003230084,2023-06-14,2024-06-13,2023,Installation Industrielle,34,B.B ARRERIDJ,369,BORDJ GHDIR,1000000.0,2500.0,Zone IIa,2.0,0.12,120000.0
16311003230429,2023-11-12,2024-11-11,2023,Installation Industrielle,16,ALGER,137,LES EUCALYPTUS,2500000.0,2500.0,Zone III,4.0,0.3,750000.0
10302003230277,2023-10-06,2024-10-05,2023,Installation Industrielle,10,BOUIRA,410,BOUIRA,1000000.0,2500.0,Zone IIa,2.0,0.12,120000.0
16245003230072,2023-10-01,2023-12-31,2023,Installation Industrielle,16,ALGER,124,EL ACHOUR,325646575.6,-41040.391,Zone III,4.0,0.3,97693972.68
16245003230072,2023-10-01,2023-12-31,2023,Installation Industrielle,16,ALGER,124,EL ACHOUR,325646575.6,41040.391,Zone III,4.0,0.3,97693972.68
31201003230075,2023-10-05,2024-10-04,2023,Installation Industrielle,31,ORAN,1011,ES SENIA,2000000.0,2500.0,Zone IIa,2.0,0.12,240000.0
14301003230169,2023-06-26,2024-06-25,2023,Installation Industrielle,14,TIARET,1384,TIARET,8470000.0,3388.0,Zone I,1.0,0.05,423500.0
34303003230045,2023-03-30,2024-03-29,2023,Installation Industrielle,34,B.B ARRERIDJ,376,EL HAMMADIA,1000000.0,2500.0,Zone IIa,2.0,0.12,120000.0
19306003230336,2023-04-14,2024-04-13,2023,Installation Industrielle,19,SETIF,1158,EL EULMA,3000000.0,2500.0,Zone IIa,2.0,0.12,360000.0
