WILAYA,COMMUNE,ZONE_RPA,nb_polices,capital_B,pml_B,pml_to_capital_pct,zone_concentration_pct,DECISION,ACTION
ALGER,ALGER,Zone III,1324,62.704,18.811,30.0,20.6,REJECT,"STOP new policies, reduce exposure"
ALGER,ROUIBA,Zone III,1000,18.76,5.628,30.0,6.2,REJECT,"STOP new policies, reduce exposure"
ALGER,CHERAGA ALGER,Zone III,1891,14.926,4.478,30.0,4.9,ADJUST,Increase premium 15-30%
ALGER,BEB EZZOUAR,Zone III,586,12.726,3.818,30.0,4.2,ADJUST,Increase premium 15-30%
ALGER,STAOUELI,Zone III,530,10.128,3.038,30.0,3.3,ADJUST,Increase premium 15-30%
ALGER,BARAKI,Zone III,865,9.285,2.786,30.01,3.1,ADJUST,Increase premium 15-30%
ALGER,EL BIAR,Zone III,298,7.987,2.396,30.0,2.6,ADJUST,Increase premium 15-30%
BLIDA,MOUZAIA,Zone III,24,7.233,2.17,30.0,2.4,ADJUST,Increase premium 15-30%
ALGER,DAR EL BEIDA,Zone III,1145,7.169,2.151,30.0,2.4,ADJUST,Increase premium 15-30%
ALGER,BIRTOUTA,Zone III,973,6.824,2.047,30.0,2.2,ADJUST,Increase premium 15-30%
ALGER,HYDRA,Zone III,439,6.806,2.042,30.0,2.2,ADJUST,Increase premium 15-30%
BOUMERDES,LARBATACHE,Zone IIb,59,6.606,1.321,20.0,17.2,REJECT,"STOP new policies, reduce exposure"
BLIDA,BLIDA,Zone III,1250,6.56,1.968,30.0,2.2,ADJUST,Increase premium 15-30%
ALGER,BIR KHADEM,Zone III,1245,6.428,1.928,29.99,2.1,ADJUST,Increase premium 15-30%
ALGER,KOUBA,Zone III,1295,6.427,1.928,30.0,2.1,ADJUST,Increase premium 15-30%
AIN DEFLA,AIN-DEFLA,Zone IIb,857,4.725,0.945,20.0,12.3,ADJUST,"Strict underwriting, review case-by-case"
ALGER,BABA HASSEN,Zone III,749,4.621,1.386,29.99,1.5,ADJUST,Increase premium 15-30%
BOUMERDES,TIDJELABINE,Zone III,44,4.355,1.306,29.99,1.4,ADJUST,Increase premium 15-30%
ALGER,DOUERA,Zone III,631,4.221,1.266,29.99,1.4,ADJUST,Increase premium 15-30%
ALGER,DELY BRAHIM,Zone III,573,4.145,1.243,29.99,1.4,ADJUST,Increase premium 15-30%
BOUMERDES,OULED MOUSSA,Zone IIb,612,4.121,0.824,20.0,10.7,ADJUST,"Strict underwriting, review case-by-case"
ALGER,OULED FAYET,Zone III,706,4.1,1.23,30.0,1.3,ADJUST,Increase premium 15-30%
ALGER,MOHAMMADIA ALGER,Zone III,801,4.097,1.229,30.0,1.3,ADJUST,Increase premium 15-30%
TIPAZA,TIPAZA,Zone III,1270,4.072,1.222,30.01,1.3,ADJUST,Increase premium 15-30%
TIPAZA,HADJOUT,Zone III,1571,3.998,1.2,30.02,1.3,ADJUST,Increase premium 15-30%
ALGER,LES EUCALYPTUS,Zone III,1219,3.781,1.134,29.99,1.2,ADJUST,Increase premium 15-30%
MEDEA,MEDEA,Zone IIb,717,3.779,0.756,20.01,9.8,ADJUST,Increase premium 15-30%
ALGER,BORDJ EL KIFFAN,Zone III,741,3.629,1.089,30.01,1.2,ADJUST,Increase premium 15-30%
