rank_in_wilaya,WILAYA,COMMUNE,ZONE_RPA,nb_polices,capital_B,pml_B,prime_M
1,ALGER,ALGER,Zone III,1324,62.704,18.811,32.7
2,ALGER,ROUIBA,Zone III,1000,18.76,5.628,10.2
3,ALGER,CHERAGA ALGER,Zone III,1891,14.926,4.478,7.8
4,ALGER,BEB EZZOUAR,Zone III,586,12.726,3.818,5.2
5,ALGER,STAOUELI,Zone III,530,10.128,3.038,5.6
6,ALGER,BARAKI,Zone III,865,9.285,2.786,5.1
7,ALGER,EL BIAR,Zone III,298,7.987,2.396,4.0
1,BLIDA,MOUZAIA,Zone III,24,7.233,2.17,1.0
8,ALGER,DAR EL BEIDA,Zone III,1145,7.169,2.151,4.2
9,ALGER,BIRTOUTA,Zone III,973,6.824,2.047,3.6
10,ALGER,HYDRA,Zone III,439,6.806,2.042,4.2
1,BOUMERDES,LARBATACHE,Zone IIb,59,6.606,1.321,1.7
2,BLIDA,BLIDA,Zone III,1250,6.56,1.968,3.9
11,ALGER,BIR KHADEM,Zone III,1245,6.428,1.928,4.3
12,ALGER,KOUBA,Zone III,1295,6.427,1.928,4.7
1,AIN DEFLA,AIN-DEFLA,Zone IIb,857,4.725,0.945,3.0
13,ALGER,BABA HASSEN,Zone III,749,4.621,1.386,2.9
2,BOUMERDES,TIDJELABINE,Zone III,44,4.355,1.306,1.2
14,ALGER,DOUERA,Zone III,631,4.221,1.266,2.5
15,ALGER,DELY BRAHIM,Zone III,573,4.145,1.243,2.8
3,BOUMERDES,OULED MOUSSA,Zone IIb,612,4.121,0.824,2.2
16,ALGER,OULED FAYET,Zone III,706,4.1,1.23,2.7
17,ALGER,MOHAMMADIA ALGER,Zone III,801,4.097,1.229,2.9
1,TIPAZA,TIPAZA,Zone III,1270,4.072,1.222,3.1
2,TIPAZA,HADJOUT,Zone III,1571,3.998,1.2,3.1
18,ALGER,LES EUCALYPTUS,Zone III,1219,3.781,1.134,3.4
1,MEDEA,MEDEA,Zone IIb,717,3.779,0.756,2.3
19,ALGER,BORDJ EL KIFFAN,Zone III,741,3.629,1.089,2.6
20,ALGER,AIN BENIAN (ALGER),Zone III,867,3.371,1.011,2.6
4,BOUMERDES,BOUMERDES,Zone III,544,3.252,0.976,2.1
2,AIN DEFLA,TIBERKANINE,Zone IIb,506,3.24,0.648,1.2
5,BOUMERDES,KHEMIS EL KHECHNA,Zone IIb,306,3.119,0.624,1.7
21,ALGER,BOUZAREAH,Zone III,316,2.763,0.829,1.5
22,ALGER,KHRAISSIA,Zone III,424,2.716,0.815,1.6
23,ALGER,REGHAIA,Zone III,821,2.555,0.766,1.8
3,AIN DEFLA,ARIB,Zone IIb,25,2.527,0.505,1.2
24,ALGER,EL ACHOUR,Zone III,355,2.464,0.739,1.3
25,ALGER,DRARIA,Zone III,422,2.456,0.737,1.7
26,ALGER,BIR MOURAD RAIS,Zone III,541,2.38,0.714,1.8
27,ALGER,SIDI MOUSSA,Zone III,409,2.359,0.708,1.6
28,ALGER,MAHELMA,Zone III,420,2.344,0.703,1.3
29,ALGER,ZERALDA,Zone III,612,2.342,0.703,1.6
30,ALGER,HUSSEIN DEY,Zone III,190,2.301,0.69,1.0
