WILAYA,ZONE_RPA,nb_polices,capital_B,pml_B,prime_M
ALGER,Zone III,27148,251.19,75.36,145.3
BLIDA,Zone III,3555,21.17,6.35,10.63
BOUMERDES,Zone IIb,1779,19.11,3.82,8.85
TIPAZA,Zone III,4790,15.23,4.57,11.23
BOUMERDES,Zone III,1723,13.55,4.06,7.12
AIN DEFLA,Zone IIb,1575,11.04,2.21,5.86
MEDEA,Zone IIb,718,3.78,0.76,2.25
BLIDA,Zone IIb,251,2.24,0.45,1.25
CHLEF,Zone III,252,1.75,0.53,1.05
CHLEF,Zone IIb,264,0.99,0.2,0.73
TIZI OUZOU,Zone IIb,76,0.95,0.19,0.52
AIN DEFLA,Zone III,119,0.81,0.24,0.42
RELIZANE,Zone IIb,5,0.22,0.04,0.04
MOSTAGANEM,Zone IIb,2,0.04,0.01,0.02
INCONNU,Zone III,10,0.03,0.01,0.02
